year,class_id,class_name,count
2007,1,Water,1069
2007,3,Urban,1329
2007,4,Agriculture,39562
2007,5,Forest,49938
2008,1,Water,1067
2008,3,Urban,1360
2008,4,Agriculture,39385
2008,5,Forest,50086
2009,1,Water,1070
2009,3,Urban,1401
2009,4,Agriculture,39877
2009,5,Forest,49550
2010,1,Water,1067
2010,3,Urban,1440
2010,4,Agriculture,41168
2010,5,Forest,48223
2011,1,Water,1068
2011,3,Urban,1471
2011,4,Agriculture,41611
2011,5,Forest,47748
2012,1,Water,1066
2012,3,Urban,1510
2012,4,Agriculture,42117
2012,5,Forest,47205
2013,1,Water,1069
2013,3,Urban,1545
2013,4,Agriculture,42819
2013,5,Forest,46465
2014,1,Water,1070
2014,3,Urban,1582
2014,4,Agriculture,43679
2014,5,Forest,45567
2015,1,Water,1068
2015,3,Urban,1644
2015,4,Agriculture,44414
2015,5,Forest,44772
2016,1,Water,1069
2016,3,Urban,1680
2016,4,Agriculture,43673
2016,5,Forest,45476
2017,1,Water,1068
2017,3,Urban,1717
2017,4,Agriculture,43344
2017,5,Forest,45769
2018,1,Water,1071
2018,3,Urban,1719
2018,4,Agriculture,43490
2018,5,Forest,45618
2019,1,Water,1070
2019,3,Urban,1721
2019,4,Agriculture,43911
2019,5,Forest,45196
2020,1,Water,1071
2020,3,Urban,1741
2020,4,Agriculture,43418
2020,5,Forest,45668
