year,basin_index,class_id,count
2012,1,0,380022
2012,1,1,5521
2012,1,2,4684
2012,1,3,5511
2012,1,4,135354
2012,1,5,228905
2012,2,0,476994
2012,2,1,6532
2012,2,2,7533
2012,2,3,14757
2012,2,4,349257
2012,2,5,98909
2012,3,0,7537
2012,3,1,380
2012,3,3,77
2012,3,4,4854
2012,3,5,2219
2012,4,0,426743
2012,4,1,8355
2012,4,2,3790
2012,4,3,34981
2012,4,4,182567
2012,4,5,197049
2012,5,0,186289
2012,5,1,15033
2012,5,2,3420
2012,5,3,3937
2012,5,4,99753
2012,5,5,64143
2012,6,0,277554
2012,6,1,18629
2012,6,2,3480
2012,6,3,4806
2012,6,4,90400
2012,6,5,160239
2012,7,0,293958
2012,7,1,2880
2012,7,2,1839
2012,7,3,7910
2012,7,4,167502
2012,7,5,113827
2012,8,0,109997
2012,8,1,837
2012,8,2,2983
2012,8,3,12534
2012,8,4,56587
2012,8,5,37056
2012,9,0,679096
2012,9,1,20505
2012,9,2,4324
2012,9,3,16360
2012,9,4,413719
2012,9,5,224188
2012,10,0,513843
2012,10,1,5857
2012,10,2,3353
2012,10,3,14542
2012,10,4,319597
2012,10,5,170481
2012,11,0,196668
2012,11,1,1163
2012,11,2,2751
2012,11,3,5032
2012,11,4,124763
2012,11,5,62959
2012,12,0,400565
2012,12,1,2879
2012,12,2,1479
2012,12,3,9927
2012,12,4,255199
2012,12,5,131081
2012,13,0,614239
2012,13,1,3052
2012,13,2,3062
2012,13,3,21771
2012,13,4,402566
2012,13,5,183788
2012,14,0,74861
2012,14,1,356
2012,14,2,130
2012,14,3,2621
2012,14,4,59774
2012,14,5,11977
2012,15,0,175137
2012,15,1,357
2012,15,2,445
2012,15,3,5413
2012,15,4,139674
2012,15,5,29240
2012,16,0,38982
2012,16,1,144
2012,16,3,1348
2012,16,4,21096
2012,16,5,16385
2012,17,0,529819
2012,17,1,4662
2012,17,2,3322
2012,17,3,19547
2012,17,4,371508
2012,17,5,130778
2012,18,0,190148
2012,18,1,1145
2012,18,2,1610
2012,18,3,4346
2012,18,4,112365
2012,18,5,70671
2018,0,0,917550
2018,0,1,31027
2018,0,2,8334
2018,0,3,33722
2018,0,4,511539
2018,0,5,332904
2018,1,0,380022
2018,1,1,5521
2018,1,2,4684
2018,1,3,5463
2018,1,4,135755
2018,1,5,228552
2018,2,0,476994
2018,2,1,6532
2018,2,2,7533
2018,2,3,14791
2018,2,4,349300
2018,2,5,98832
2018,3,0,7537
2018,3,1,380
2018,3,3,77
2018,3,4,4854
2018,3,5,2219
2018,4,0,426743
2018,4,1,8378
2018,4,2,3821
2018,4,3,35786
2018,4,4,182632
2018,4,5,196125
2018,5,0,186289
2018,5,1,15033
2018,5,2,3420
2018,5,3,3877
2018,5,4,99824
2018,5,5,64132
2018,6,0,277554
2018,6,1,18629
2018,6,2,3480
2018,6,3,4835
2018,6,4,90379
2018,6,5,160231
2018,7,0,293958
2018,7,1,2900
2018,7,2,1841
2018,7,3,7990
2018,7,4,167561
2018,7,5,113666
2018,8,0,109997
2018,8,1,837
2018,8,2,2983
2018,8,3,12900
2018,8,4,56236
2018,8,5,37041
2018,9,0,679096
2018,9,1,20505
2018,9,2,4331
2018,9,3,16392
2018,9,4,413967
2018,9,5,223901
2018,10,0,513843
2018,10,1,5863
2018,10,2,3353
2018,10,3,14652
2018,10,4,319610
2018,10,5,170352
2018,11,0,196668
2018,11,1,1163
2018,11,2,2760
2018,11,3,5032
2018,11,4,124702
2018,11,5,63011
2018,12,0,400565
2018,12,1,2886
2018,12,2,1479
2018,12,3,9938
2018,12,4,255256
2018,12,5,131006
2018,13,0,614239
2018,13,1,3052
2018,13,2,3062
2018,13,3,21927
2018,13,4,402553
2018,13,5,183645
2018,14,0,74861
2018,14,1,356
2018,14,2,130
2018,14,3,2621
2018,14,4,59774
2018,14,5,11977
2018,15,0,175137
2018,15,1,357
2018,15,2,445
2018,15,3,5437
2018,15,4,139733
2018,15,5,29157
2018,16,0,38982
2018,16,1,144
2018,16,3,1348
2018,16,4,21114
2018,16,5,16367
2018,17,0,529819
2018,17,1,4676
2018,17,2,3289
2018,17,3,19636
2018,17,4,371483
2018,17,5,130733
2018,18,0,190148
2018,18,1,1145
2018,18,2,1610
2018,18,3,4380
2018,18,4,112374
2018,18,5,70628
