year,class_id,class_name,count
1982,2,Wetland,0
1982,3,Urban,660
1982,4,Agriculture,55726
1982,5,Forest,34446
1983,1,Water,1063
1983,2,Wetland,0
1983,3,Urban,677
1983,4,Agriculture,55428
1983,5,Forest,34728
1984,1,Water,1064
1984,2,Wetland,0
1984,3,Urban,696
1984,4,Agriculture,55030
1984,5,Forest,35106
1985,1,Water,1063
1985,2,Wetland,0
1985,3,Urban,716
1985,4,Agriculture,54691
1985,5,Forest,35426
1986,1,Water,1064
1986,2,Wetland,0
1986,3,Urban,737
1986,4,Agriculture,54304
1986,5,Forest,35791
1987,1,Water,1063
1987,2,Wetland,0
1987,3,Urban,760
1987,4,Agriculture,53930
1987,5,Forest,36143
1988,1,Water,1064
1988,2,Wetland,0
1988,3,Urban,785
1988,4,Agriculture,53514
1988,5,Forest,36533
1989,1,Water,1063
1989,2,Wetland,0
1989,3,Urban,808
1989,4,Agriculture,53176
1989,5,Forest,36849
1990,1,Water,1064
1990,2,Wetland,0
1990,3,Urban,835
1990,4,Agriculture,52816
1990,5,Forest,37181
1991,1,Water,1063
1991,2,Wetland,0
1991,3,Urban,862
1991,4,Agriculture,52268
1991,5,Forest,37703
1992,1,Water,1062
1992,2,Wetland,0
1992,3,Urban,891
1992,4,Agriculture,51648
1992,5,Forest,38295
1993,1,Water,1062
1993,2,Wetland,0
1993,3,Urban,920
1993,4,Agriculture,50740
1993,5,Forest,39174
1994,1,Water,1062
1994,2,Wetland,0
1994,3,Urban,942
1994,4,Agriculture,47382
1994,5,Forest,42510
1995,1,Water,1062
1995,2,Wetland,0
1995,3,Urban,975
1995,4,Agriculture,51754
1995,5,Forest,38105
1996,1,Water,1062
1996,2,Wetland,0
1996,3,Urban,993
1996,4,Agriculture,51768
1996,5,Forest,38073
1997,1,Water,1062
1997,2,Wetland,0
1997,3,Urban,1028
1997,4,Agriculture,51875
1997,5,Forest,37931
1998,1,Water,1062
1998,2,Wetland,0
1998,3,Urban,1060
1998,4,Agriculture,51988
1998,5,Forest,37786
1999,1,Water,1062
1999,2,Wetland,0
1999,3,Urban,1095
1999,4,Agriculture,53050
1999,5,Forest,36689
2000,1,Water,1062
2000,2,Wetland,0
2000,3,Urban,1133
2000,4,Agriculture,51835
2000,5,Forest,37866
2001,1,Water,1062
2001,2,Wetland,0
2001,3,Urban,1123
2001,4,Agriculture,41369
2001,5,Forest,48342
2002,1,Water,1063
2002,2,Wetland,0
2002,3,Urban,1158
2002,4,Agriculture,41293
2002,5,Forest,48382
2003,1,Water,1064
2003,2,Wetland,0
2003,3,Urban,1185
2003,4,Agriculture,36673
2003,5,Forest,52974
2004,1,Water,1065
2004,2,Wetland,0
2004,3,Urban,1220
2004,4,Agriculture,37714
2004,5,Forest,51897
2005,1,Water,1066
2005,2,Wetland,0
2005,3,Urban,1262
2005,4,Agriculture,41425
2005,5,Forest,48144
2006,1,Water,1065
2006,2,Wetland,0
2006,3,Urban,1290
2006,4,Agriculture,40765
2006,5,Forest,48777
2007,1,Water,1067
2007,2,Wetland,0
2007,3,Urban,1332
2007,4,Agriculture,39590
2007,5,Forest,49908
2008,1,Water,1066
2008,2,Wetland,0
2008,3,Urban,1364
2008,4,Agriculture,39416
2008,5,Forest,50051
2009,1,Water,1069
2009,2,Wetland,0
2009,3,Urban,1404
2009,4,Agriculture,39910
2009,5,Forest,49514
2010,1,Water,1067
2010,2,Wetland,0
2010,3,Urban,1443
2010,4,Agriculture,41204
2010,5,Forest,48183
2011,1,Water,1068
2011,2,Wetland,0
2011,3,Urban,1474
2011,4,Agriculture,41647
2011,5,Forest,47708
2012,1,Water,1069
2012,2,Wetland,0
2012,3,Urban,1513
2012,4,Agriculture,42156
2012,5,Forest,47159
2013,1,Water,1072
2013,2,Wetland,0
2013,3,Urban,1548
2013,4,Agriculture,42859
2013,5,Forest,46418
2014,1,Water,1073
2014,2,Wetland,0
2014,3,Urban,1585
2014,4,Agriculture,43715
2014,5,Forest,45523
2015,1,Water,1078
2015,2,Wetland,0
2015,3,Urban,1645
2015,4,Agriculture,44450
2015,5,Forest,44723
2016,1,Water,1081
2016,2,Wetland,1
2016,3,Urban,1681
2016,4,Agriculture,43710
2016,5,Forest,45423
2017,1,Water,1083
2017,2,Wetland,1
2017,3,Urban,1718
2017,4,Agriculture,43376
2017,5,Forest,45718
2018,1,Water,1084
2018,2,Wetland,0
2018,3,Urban,1721
2018,4,Agriculture,43528
2018,5,Forest,45563
2019,1,Water,1088
2019,2,Wetland,1
2019,3,Urban,1718
2019,4,Agriculture,43958
2019,5,Forest,45131
2020,1,Water,1090
2020,2,Wetland,1
2020,3,Urban,1744
2020,4,Agriculture,43459
2020,5,Forest,45602
