year,basin_index,class_id,count
1916,5,0,2512
1916,5,1,173
1916,5,3,2
1916,5,4,1314
1916,5,5,1023
1916,6,0,3927
1916,6,1,122
1916,6,3,2
1916,6,4,1127
1916,6,5,2676
1916,7,0,4217
1916,7,1,24
1916,7,3,3
1916,7,4,2585
1916,7,5,1605
1916,8,0,1419
1916,8,1,24
1916,8,3,45
1916,8,4,1101
1916,8,5,249
1916,9,0,9669
1916,9,1,160
1916,9,3,10
1916,9,4,6900
1916,9,5,2599
1916,10,0,7395
1916,10,1,43
1916,10,3,15
1916,10,4,5174
1916,10,5,2163
1916,11,0,2807
1916,11,4,2084
1916,11,5,723
1916,12,0,5713
1916,12,1,19
1916,12,3,10
1916,12,4,4062
1916,12,5,1622
1916,13,0,8770
1916,13,1,6
1916,13,3,27
1916,13,4,7032
1916,13,5,1705
1916,14,0,1068
1916,14,3,1
1916,14,4,1000
1916,14,5,67
1916,15,0,2505
1916,15,4,2314
1916,15,5,191
1916,16,0,539
1916,16,1,3
1916,16,3,1
1916,16,4,384
1916,16,5,151
1916,17,0,7649
1916,17,1,42
1916,17,3,27
1916,17,4,6328
1916,17,5,1252
1916,18,0,2689
1916,18,1,5
1916,18,3,2
1916,18,4,1633
1916,18,5,1049
1917,0,0,12320
1917,0,1,218
1917,0,3,70
1917,0,4,8063
1917,0,5,3969
1917,1,0,5187
1917,1,1,37
1917,1,4,1901
1917,1,5,3249
1917,2,0,6663
1917,2,1,59
1917,2,3,7
1917,2,4,5527
1917,2,5,1070
1917,3,0,98
1917,3,1,4
1917,3,3,1
1917,3,4,76
1917,3,5,17
1917,4,0,5859
1917,4,1,54
1917,4,3,129
1917,4,4,3261
1917,4,5,2415
1917,5,0,2512
1917,5,1,173
1917,5,3,2
1917,5,4,1329
1917,5,5,1008
1917,6,0,3927
1917,6,1,122
1917,6,3,2
1917,6,4,1120
1917,6,5,2683
1917,7,0,4217
1917,7,1,24
1917,7,3,3
1917,7,4,2565
1917,7,5,1625
1917,8,0,1419
1917,8,1,24
1917,8,3,40
1917,8,4,1102
1917,8,5,253
1917,9,0,9669
1917,9,1,160
1917,9,3,10
1917,9,4,6914
1917,9,5,2585
1917,10,0,7395
1917,10,1,43
1917,10,3,15
1917,10,4,5175
1917,10,5,2162
1917,11,0,2807
1917,11,4,2096
1917,11,5,711
1917,12,0,5713
1917,12,1,19
1917,12,3,10
1917,12,4,4082
1917,12,5,1602
1917,13,0,8770
1917,13,1,6
1917,13,3,33
1917,13,4,7032
1917,13,5,1699
