basin,river,station_code,station_name,hydro_metric,class,n_years,years_used,pearson_r,pearson_p,pearson_q,spearman_r,spearman_p,spearman_q
Mūša,Lėvuo,bernatoniu-levuo-vms,Bernatonių VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.447,0.2697,0.5302,0.071,0.882,0.882
Mūša,Lėvuo,bernatoniu-levuo-vms,Bernatonių VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.333,0.4022,0.5302,-0.381,0.3599,0.5998
Mūša,Lėvuo,bernatoniu-levuo-vms,Bernatonių VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.337,0.4242,0.5302,0.452,0.2675,0.5998
Nemunėlis,Nemunėlis,tabokines-vms,Tabokinės VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.379,0.3579,0.3579,-0.071,0.882,0.882
Nemunėlis,Nemunėlis,tabokines-vms,Tabokinės VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.545,0.1683,0.2805,0.524,0.1966,0.3277
Nemunėlis,Nemunėlis,tabokines-vms,Tabokinės VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.378,0.3467,0.3579,-0.31,0.4618,0.5773
Nemunėlis,Nemunėlis,tabokines-vms,Tabokinės VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.683,0.062,0.1549,-0.667,0.0831,0.2077
Nemunėlis,Nemunėlis,tabokines-vms,Tabokinės VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.701,0.0499,0.1549,0.69,0.0694,0.2077
Bartuvos,Bartuva,skuodo-vms,Skuodo VMS,discharge,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,0.039,0.9137,0.9137,0.048,0.9349,1.0
Bartuvos,Bartuva,skuodo-vms,Skuodo VMS,discharge,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.373,0.3572,0.9137,0.333,0.4279,1.0
Bartuvos,Bartuva,skuodo-vms,Skuodo VMS,discharge,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.25,0.5666,0.9137,-0.286,0.5008,1.0
Bartuvos,Bartuva,skuodo-vms,Skuodo VMS,discharge,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.123,0.7568,0.9137,0.0,1.0,1.0
Bartuvos,Bartuva,skuodo-vms,Skuodo VMS,discharge,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.166,0.6867,0.9137,0.071,0.882,1.0
Ventos,Venta,leckavos-vms,Leckavos VMS,discharge,Water,7,2017;2018;2019;2020;2021;2022;2023,-0.368,0.3992,0.9038,-0.536,0.2357,0.5556
Ventos,Venta,leckavos-vms,Leckavos VMS,discharge,Wetland,7,2017;2018;2019;2020;2021;2022;2023,0.059,0.9038,0.9038,0.214,0.6615,0.6615
Ventos,Venta,leckavos-vms,Leckavos VMS,discharge,Urban,7,2017;2018;2019;2020;2021;2022;2023,-0.412,0.3746,0.9038,-0.464,0.3024,0.5556
Ventos,Venta,leckavos-vms,Leckavos VMS,discharge,Agriculture,7,2017;2018;2019;2020;2021;2022;2023,-0.128,0.77,0.9038,-0.357,0.4444,0.5556
Ventos,Venta,leckavos-vms,Leckavos VMS,discharge,Forest,7,2017;2018;2019;2020;2021;2022;2023,0.235,0.6089,0.9038,0.429,0.3536,0.5556
Lietuvos pajūrio upių,Danė,klaipedos-vms,Klaipėdos VMS,level,Water,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.469,0.2451,0.4643,-0.381,0.3599,0.6705
Lietuvos pajūrio upių,Danė,klaipedos-vms,Klaipėdos VMS,level,Wetland,8,2017;2018;2019;2020;2021;2022;2023;2024,0.459,0.2566,0.4643,0.619,0.115,0.5749
Lietuvos pajūrio upių,Danė,klaipedos-vms,Klaipėdos VMS,level,Urban,8,2017;2018;2019;2020;2021;2022;2023;2024,0.191,0.6498,0.6498,0.286,0.5008,0.6705
Lietuvos pajūrio upių,Danė,klaipedos-vms,Klaipėdos VMS,level,Agriculture,8,2017;2018;2019;2020;2021;2022;2023;2024,-0.439,0.2786,0.4643,-0.262,0.5364,0.6705
Lietuvos pajūrio upių,Danė,klaipedos-vms,Klaipėdos VMS,level,Forest,8,2017;2018;2019;2020;2021;2022;2023;2024,0.258,0.5327,0.6498,0.167,0.7033,0.7033
