year,basin_index,class_id,count
1982,6,5,2040
1982,7,0,3098
1982,7,1,23
1982,7,3,8
1982,7,4,2173
1982,7,5,894
1982,8,0,1195
1982,8,1,24
1982,8,3,63
1982,8,4,976
1982,8,5,132
1982,9,0,7925
1982,9,1,160
1982,9,3,28
1982,9,4,6258
1982,9,5,1479
1982,10,0,6299
1982,10,1,43
1982,10,3,45
1982,10,4,4758
1982,10,5,1453
1982,11,0,2349
1982,11,3,3
1982,11,4,1941
1982,11,5,405
1982,12,0,4510
1982,12,1,19
1982,12,3,17
1982,12,4,3552
1982,12,5,922
1982,13,0,8018
1982,13,1,6
1982,13,3,74
1982,13,4,6503
1982,13,5,1435
1982,14,0,1032
1982,14,3,1
1982,14,4,998
1982,14,5,33
1982,15,0,2464
1982,15,3,2
1982,15,4,2264
1982,15,5,198
1982,16,0,439
1982,16,1,3
1982,16,3,1
1982,16,4,323
1982,16,5,112
1982,17,0,7170
1982,17,1,42
1982,17,3,56
1982,17,4,6050
1982,17,5,1022
1982,18,0,2246
1982,18,1,5
1982,18,3,4
1982,18,4,1508
1982,18,5,729
1983,0,0,10154
1983,0,1,217
1983,0,3,137
1983,0,4,6977
1983,0,5,2823
1983,1,0,4156
1983,1,1,37
1983,1,4,1413
1983,1,5,2706
1983,2,0,6221
1983,2,1,59
1983,2,3,26
1983,2,4,5298
1983,2,5,838
1983,3,0,81
1983,3,1,4
1983,3,3,1
1983,3,4,64
1983,3,5,12
1983,4,0,4491
1983,4,1,54
1983,4,3,197
1983,4,4,2384
1983,4,5,1856
1983,5,0,1801
1983,5,1,173
1983,5,3,4
1983,5,4,1125
1983,5,5,499
1983,6,0,2950
1983,6,1,122
1983,6,3,2
1983,6,4,784
1983,6,5,2042
1983,7,0,3080
1983,7,1,23
1983,7,3,7
1983,7,4,2149
1983,7,5,901
1983,8,0,1180
1983,8,1,24
1983,8,3,63
1983,8,4,966
1983,8,5,127
1983,9,0,7794
1983,9,1,160
1983,9,3,26
1983,9,4,6149
1983,9,5,1459
1983,10,0,6334
1983,10,1,43
1983,10,3,47
1983,10,4,4793
1983,10,5,1451
1983,11,0,2349
1983,11,3,3
1983,11,4,1937
1983,11,5,409
1983,12,0,4493
1983,12,1,19
1983,12,3,17
1983,12,4,3527
1983,12,5,930
1983,13,0,8013
1983,13,1,6
1983,13,3,80
1983,13,4,6489
1983,13,5,1438
1983,14,0,1033
1983,14,3,1
1983,14,4,1000
1983,14,5,32
1983,15,0,2464
1983,15,3,1
1983,15,4,2259
1983,15,5,204
1983,16,0,435
1983,16,1,3
1983,16,3,1
1983,16,4,319
1983,16,5,112
1983,17,0,7166
1983,17,1,42
1983,17,3,59
1983,17,4,6050
1983,17,5,1015
1983,18,0,2234
1983,18,1,5
1983,18,3,4
1983,18,4,1520
1983,18,5,705
1984,0,0,10087
1984,0,1,217
1984,0,3,136
1984,0,4,6904
1984,0,5,2830
1984,1,0,4143
1984,1,1,37
1984,1,3,1
1984,1,4,1394
1984,1,5,2711
1984,2,0,6214
1984,2,1,59
1984,2,3,26
1984,2,4,5290
1984,2,5,839
1984,3,0,81
1984,3,1,4
1984,3,3,1
1984,3,4,64
1984,3,5,12
1984,4,0,4444
1984,4,1,54
1984,4,3,197
1984,4,4,2348
1984,4,5,1845
1984,5,0,1752
1984,5,1,173
1984,5,3,4
1984,5,4,1080
1984,5,5,495
1984,6,0,2939
1984,6,1,122
1984,6,3,4
1984,6,4,774
1984,6,5,2039
1984,7,0,3075
1984,7,1,23
1984,7,3,8
1984,7,4,2142
1984,7,5,902
1984,8,0,1174
1984,8,1,24
1984,8,3,65
1984,8,4,954
1984,8,5,131
1984,9,0,7751
1984,9,1,160
1984,9,3,28
1984,9,4,6091
1984,9,5,1472
1984,10,0,6327
1984,10,1,43
1984,10,3,48
1984,10,4,4778
1984,10,5,1458
1984,11,0,2335
1984,11,3,3
1984,11,4,1922
1984,11,5,410
1984,12,0,4468
1984,12,1,19
1984,12,3,19
1984,12,4,3501
1984,12,5,929
1984,13,0,8000
1984,13,1,6
1984,13,3,81
1984,13,4,6465
1984,13,5,1448
1984,14,0,1025
1984,14,3,1
1984,14,4,992
1984,14,5,32
1984,15,0,2462
1984,15,3,2
1984,15,4,2259
1984,15,5,201
1984,16,0,431
1984,16,1,3
1984,16,3,1
1984,16,4,318
1984,16,5,109
1984,17,0,7163
1984,17,1,42
1984,17,3,65
1984,17,4,6038
1984,17,5,1018
1984,18,0,2227
1984,18,1,5
1984,18,3,5
1984,18,4,1492
1984,18,5,725
1985,0,0,10049
1985,0,1,217
